Hands above head detected,2025-01-07 08:45:58
Hands above head detected,2025-01-07 08:45:59
Hands above head detected,2025-01-07 11:35:13
Hands above head detected,2025-01-07 11:35:15
Hands above head detected,2025-01-07 12:50:30
Hands above head detected,2025-01-07 12:50:30
Hands above head detected,2025-01-07 12:50:38
Hands above head detected,2025-03-01 04:59:52
Hands above head detected,2025-03-01 10:26:18
Fall detected,2025-03-01 10:26:14
Hands above head detected,2025-03-01 10:26:20
Fall detected,2025-03-01 10:26:20
Fall detected,2025-03-01 10:26:21
Fall detected,2025-03-01 10:26:22
Fall detected,2025-03-01 10:26:23
Hands above head detected,2025-03-01 10:26:24
Fall detected,2025-03-01 10:26:24
Hands above head detected,2025-03-01 10:26:25
Fall detected,2025-03-01 10:26:25
Fall detected,2025-03-01 10:26:26
Hands above head detected,2025-03-01 10:26:28
Fall detected,2025-03-01 10:26:28
Hands above head detected,2025-03-01 10:26:29
Fall detected,2025-03-01 10:26:29
Hands above head detected,2025-03-01 10:26:30
Fall detected,2025-03-01 10:26:30
Hands above head detected,2025-03-01 10:26:31
Fall detected,2025-03-01 10:26:31
Hands above head detected,2025-03-01 10:26:32
Fall detected,2025-03-01 10:26:32
Hands above head detected,2025-03-01 10:26:33
Fall detected,2025-03-01 10:26:33
Hands above head detected,2025-03-01 10:26:34
Fall detected,2025-03-01 10:26:34
Hands above head detected,2025-03-01 10:26:35
Fall detected,2025-03-01 10:26:35
Hands above head detected,2025-03-01 10:26:37
Fall detected,2025-03-01 10:26:36
Hands above head detected,2025-03-01 10:53:50
Hands above head detected,2025-03-01 10:53:51
Hands above head detected,2025-03-01 13:21:52
Loitering detected,2025-03-01 13:34:12
Hands above head detected,2025-03-01 13:39:38
Hands above head detected,2025-03-01 13:39:39
Hands above head detected,2025-03-01 13:39:40
Hands above head detected,2025-03-01 13:39:41
Loitering detected,2025-03-01 13:44:27
